authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3b921c094ce4076cd941978a8a947cca~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=2b659676&x-expires=1759665600&x-signature=qJxRERGuSD0%2BkiX%2BEcpqffAaWUc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,ayoindonesiacom,"Sebuah video yang viral di media sosial memicu kehebohan publik. Rekaman tersebut memperlihatkan petugas dapur Satuan Pelayanan Pemenuhan Gizi (SPPG) program Makan Bergizi Gratis (MBG) mencuci nampan ompreng stainless dengan cara yang dinilai tidak higienis.

Dalam video, tiga pegawai terlihat menggunakan spons untuk mencuci nampan di wadah berisi air sabun, lalu membilasnya ke bak air yang kondisinya kotor dan tidak steril. Peristiwa itu diketahui terjadi di dapur MBG yang berlokasi di Jalan Raya Tagog Munding, Desa Citatah, Kecamatan Cipatat, Kabupaten Bandung Barat.

Temuan ini membuat operasional SPPG langsung dihentikan sementara. Langkah itu diambil karena proses pencucian tidak sesuai standar operasional prosedur (SOP) yang ditetapkan Badan Gizi Nasional (BGN).

""Iya benar, hari ini dapurnya disetop sementara. Kemarin ada tim dari BGM yang melakukan inspeksi, dan temuan terkait proses pencucian serta kondisi dapur,"" kata Taufik, perwakilan SPPG Citatah, Rabu (1/10/2025).

Taufik menambahkan, pihaknya kini tengah melakukan pembenahan fasilitas pencucian serta dapur agar sesuai dengan standar. Sementara soal Sertifikat Laik Higiene Sanitasi (SLHS), ia menegaskan hal tersebut merupakan tanggung jawab pemilik yayasan, sedangkan SPPG fokus pada operasional dapur dan distribusi program MBG.

Sumber: AyoBandung.com/Restu Nugraha

Follow terus @ayoindonesiacom

#NampanMBG #MBG #viral #bandungbarat #SPPG",501000,138600,17300000,15200,35,suara asli - AyoIndonesia.com,AyoIndonesia.com,True,2025-10-02T03:05:00.000Z,https://www.tiktok.com/@ayoindonesiacom/video/7556450621541354773
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/20fba74de97181cadd5005a5c5270dbc~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=e8272ed5&x-expires=1759665600&x-signature=5Q7Bj7iFUlA%2B%2BGbs12Bp6f%2Fvk1M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,suaradotcom,"MinSu kaget tahunya digoreng lagi???
Di tengah huru-hara kasus keracunan makan bergizi gratis (MBG), ada saja tingkah para siswa saat menerima program dari pemerintah itu.
Bukan tingkah unik saat membagikan makanan MBG kepada sesama teman, tapi juga ada cara kreatif mereka menjadikan makanan lebih nikmat untuk disantap.
Aksi ini dilakukan semata-mata agar makanan MBG tidak terbuang dan menyisakan food waste. Bahkan tidak jarang para siswa juga membagikan makanan tersebut.
Wah, lucu-lucu ya! Mana nih yang paling jadi favorit Sobat MinSu?
#MBG #CoreMBG #MakananBergiziGratis #FoodWaste #Viral",16800,712,608300,240,57,original sound - Suaradotcom,Suaradotcom,True,2025-09-29T06:30:09.000Z,https://www.tiktok.com/@suaradotcom/video/7555394657249791244
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e653c1c24112737528c93f441c740300~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=36c8fef8&x-expires=1759665600&x-signature=TBs3OHerDryd%2FaNiqisPOHpc4qs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,betweennhorizon,"yang terakhir manusia apa kambing 😭😭
#fyp #mbg #core #ngakak #trending ",61600,3718,1700000,2453,41,Tak Ada Yang Sepertimu,Rony Parulian,False,2025-09-20T03:15:50.000Z,https://www.tiktok.com/@betweennhorizon/video/7552004828428356872
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0bfa68b8d8430d9a8c7565895eba1619~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=6a5430a6&x-expires=1759665600&x-signature=Sl2SnYxZoQkYD7bRwlDyIY0Y8oI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,zhratuzita,#mbg #keracunan #fyp ,3400000,504800,54500000,47500,14,suara asli - violetts,violetts,True,2025-09-17T16:25:12.000Z,https://www.tiktok.com/@zhratuzita/video/7551094993406922002
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/127485c70c2bbeb2d030deefdb761efe~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=aa2edb27&x-expires=1759665600&x-signature=em34Blogl%2Fu%2FnRekN%2FAIzgQoD3k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,voiceofradenvx,MBG,2499,565,41400,40,9,original sound - VoiceofRadenVX | Voice Actor,VoiceofRadenVX | Voice Actor,True,2025-09-19T05:10:54.000Z,https://www.tiktok.com/@voiceofradenvx/video/7551663374585711928
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ee3d2ca13959490020d9824a0cd70f15~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=8f48c112&x-expires=1759665600&x-signature=MktHQbZMnS6ys%2FI626OxKfsfkOw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,weeare.rese_xi.b,#keracunan#mbg#fyp ,35400,1402,546100,3407,14,suara asli - weeare.rese_xi.b,ᴍᴀ ᴅᴀʀᴜʟ ꜰɪᴋʀɪ ᴄɪᴘᴏɴɢᴋᴏʀ,True,2025-09-25T11:39:30.000Z,https://www.tiktok.com/@weeare.rese_xi.b/video/7553990045380676875
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/d7bce3530d76c6e8bdcb72aa9ed8d32d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=67130e0d&x-expires=1759665600&x-signature=Kvd0qc4K5PqS%2Fo6WiqHLteB3hkM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,itsfathhhh,omaga#fyppppppppppppppppppppppp#mbg#daily#school#makansianggratis ,731,41,52500,29,12,Jet2 Advert,✈️A7-BBH | MAN 🇬🇧,True,2025-09-24T10:24:19.000Z,https://www.tiktok.com/@itsfathhhh/video/7553599585231441164
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6bf88dff21d8c5af9ca4f4741864b219~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=f87b8ac8&x-expires=1759665600&x-signature=6soAgNUOJiC0tfgTzGN7t7IOeEc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,weearee..xeight,#fyppppppppppppppppppppppp #keracunanmbg #mbg,7789,739,563500,166,13,suara asli - RAHMAN WALLY,CRW,True,2025-09-30T05:14:00.000Z,https://www.tiktok.com/@weearee..xeight/video/7555746123135208712
https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/58b988d008116332c93996f2a995ea98~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=00a52146&x-expires=1759665600&x-signature=bHby5oud1Y3W1RJ0SWM6hzGhu8U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,lahsemasa,#mbg #mbglovers❤️ ,87600,8497,825000,135,9,COULD BE WRONG,LOSTBOYJAY,False,2025-09-15T03:07:33.000Z,https://www.tiktok.com/@lahsemasa/video/7550147238354373893
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e1a33a643ac428890cbdd60ec8d41ccb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=2187ded4&x-expires=1759665600&x-signature=JDzbORKrjjZnkJsY81yjaExVMZA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,tertiary.cedric,prasmanan mbg edisi ngasi makan orang utan #fyp #dkv #mbg #haribatiknasional #xybca ,110000,19600,1100000,937,50,suara asli - tertiary cedric,tertiary cedric,True,2025-10-02T08:31:11.000Z,https://www.tiktok.com/@tertiary.cedric/video/7556539111134268693
https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/0361f9290602f690d9181de4138a7ddb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=9f65e1c5&x-expires=1759665600&x-signature=jBfipdSlmUkftorSE9YuD5iBZJE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,suararakyatjelata2,#fyp #guru #mbg ,4232,681,279800,1018,86,suara asli - Assyifa Media Partner,Assyifa Media Partner,True,2025-10-03T03:09:56.000Z,https://www.tiktok.com/@suararakyatjelata2/video/7556827381500071224
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/30f9e6f7d9701f23d7940613e531c59b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=fa6fb62a&x-expires=1759665600&x-signature=jbrUiiBXArixHNSXT%2BGe8VCh7cg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,indonesiamerdek263,Guru jadi tumbal negara atas program MBG 😭 #guru #mbg #viral #trending #fyp ,98300,5874,1900000,575,26,suara asli - Rp1 Jefri28,JEFRI Otsutsuki,True,2025-10-02T05:37:16.000Z,https://www.tiktok.com/@indonesiamerdek263/video/7556494271361174840
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/92312dac30cfb186f74e361ce2054ba7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=7fcd0297&x-expires=1759665600&x-signature=01JdJxs8nh41Oh%2BDDuAnL12Q6hI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,dosisfyp8,"Mba Maya, salah satu pegawai SPPG di bogor bersyukur banget karena Program Makan Bergizi Gratis (MBG) telah membuka lapangan kerja baru yang sangat membantu masyarakat, termasuk dirinya sendiri.

#prabowo #keracunanmbg #mbg #makanbergizigratis ",7701,72,74100,779,55,suara asli - Vibes lyrics only🥀,Vibes lyrics only🥀,True,2025-10-02T12:23:15.000Z,https://www.tiktok.com/@dosisfyp8/video/7556598910303735052
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b7aa221764adc3d30365dc099d35b8f1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=37bb13b0&x-expires=1759665600&x-signature=0QogNCbFwhHkk07C%2FEVDJnycme0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,sppgplajuulu1.palembang,"Ditunggu menu menu selanjutnya🫶🏻
#fyppppppppppppppppppppppp #mbg #palembang #sppg #makangraris ",12300,699,623700,1289,17,Western Music: Arizona Dreaming,Piero Piccioni,False,2025-09-23T02:22:23.000Z,https://www.tiktok.com/@sppgplajuulu1.palembang/video/7553104295051152651
https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/edd71d11be09c3ffdeae45cff6709af2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0b1e8a85&x-expires=1759665600&x-signature=uAV8f1vwIsMzN1BrF%2Bfb22J8S00%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,akusiapaitsme,"Ada2 aja kelakuannya, sehat-sehat kalian ya 😭🤣

#mbg #mbglovers❤️ #mbgcore #fyp #viral",201300,14700,1300000,991,37,Jenuh Tapi Butuh,Salma Salsabil,False,2025-09-27T03:06:38.000Z,https://www.tiktok.com/@akusiapaitsme/video/7554600038714953016
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1ca85b93adbfd36f85ef446cb3bd8d88~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ff97aee2&x-expires=1759665600&x-signature=SLY8SFf56ayh0DxrLy8pXWg8o8M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,rizkimiraj1,"korban mbg 
katanya #mbg ",122000,20900,1900000,2362,44,suara asli - Rizki Mi'raj,Rizki Mi'raj,True,2025-10-01T11:21:32.000Z,https://www.tiktok.com/@rizkimiraj1/video/7556211918575291704
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f4cf6c1f872a7629bb88d98bdace2a36~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1ad62b85&x-expires=1759665600&x-signature=W3mNY5151IAX0HVhUHqkAkuTqPo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,danang.aji170,day 1 #mbg #pakprabowo #fyp #4u @ig : Sandyavvx ,21700,1194,696900,332,6,suara asli - danangaji,danangaji,True,2025-09-29T12:04:05.000Z,https://www.tiktok.com/@danang.aji170/video/7555480729661181192
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/fcc8a25681223615900235178047b438~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ff77f3cd&x-expires=1759665600&x-signature=upphDsqKKP8TQq%2BZAQs0xxBnzpU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,andaianakpresiden,mbg keracunan core mbg makan bergizi gratis #viral #mbg #makanbergizigratis #update #hariini ,20400,4955,554700,2049,110,Sad song by piano and violin(886018),NOVA,False,2025-10-02T22:40:09.000Z,https://www.tiktok.com/@andaianakpresiden/video/7556757855441800466
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/df518b70be2e34fec3f9d32e699a66b0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d440c4fd&x-expires=1759665600&x-signature=eQosF7EEesmWkOUoQvqnl8hdIMg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,ale.ka_08,"Jawaban Kepala MBG terkait Isu mengenai MBG

#mbg #bgn #keracunanmbg #fyp #fyppppppppppppppppppppppp ",836,226,25300,338,261,suara asli - Aleka08,Aleka08,True,2025-10-02T04:39:22.000Z,https://www.tiktok.com/@ale.ka_08/video/7556479377219915016
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/dc6cb02611157817b31c223e1fe7623b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=27d61c7a&x-expires=1759665600&x-signature=3HK%2F6HZAnIwyosuh%2BVEFZi7rOgg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,itsme_dujuu,MBG hari ini spesial @duabelas enam #mbg#smansaya#fyp,82800,3335,3600000,2364,11,original sound,sarah.oulds5,True,2025-08-29T02:29:31.000Z,https://www.tiktok.com/@itsme_dujuu/video/7543829017435049224
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7e4338cf697a31d63f9ca3b063dd0433~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=b4c679d2&x-expires=1759665600&x-signature=bO2w3xEYE1JQgUpHDCzUwprMPPo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,iy_y_gw,"#mbg #makanbergizigratis 
#foryou #fypシ゚ ",9581,1226,84600,185,41,Lihatlah Lebih Dekat,Yura Yunita,False,2025-10-01T08:04:22.000Z,https://www.tiktok.com/@iy_y_gw/video/7556161087301848376
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3d23724e13197fe0abd81d5cee180737~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=904b3681&x-expires=1759665600&x-signature=r4sVb%2BtQbZPH%2BmbUY3xsUwJkehk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,dimgabut,"semoga kedepannya ga ada kasus keracunan mbg lagi
#fyp #jj #meme #mbg #racun ",33600,7378,411600,405,19,NGAPAIN REPOT by MASTAY SOPAN,ScOtt 𝐀𝐌 𝐏𝐑𝐄𝐌 𝐃𝐈𝐁𝐈𝐎,True,2025-10-01T07:40:00.000Z,https://www.tiktok.com/@dimgabut/video/7556154811184418059
https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2ec2a0598ad9d830c6f643cd4289572a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d03de899&x-expires=1759665600&x-signature=DAr9Dk3w28MUWglo%2BkgP18KPg9s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,s_drmn,#fyp #mbg ,25,21,4487,3,12,QKThr,Aphex Twin,False,2025-09-29T10:43:51.000Z,https://www.tiktok.com/@s_drmn/video/7555460043995467020
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0e302f7e8d75488e4f67d2d8818671f7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ab580cc9&x-expires=1759665600&x-signature=n%2F5TE3G2ywFbYJMdDFVPH5t9xZE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,9ce_spentwo,mbg gratis 😭😭 #fyp #mbg #spenda ,91,9,5578,6,11,suara asli - sembilance_spentwo,sembilance_spentwo,True,2025-10-02T05:56:44.000Z,https://www.tiktok.com/@9ce_spentwo/video/7556499302688853255
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b8f521713a9dd2163ca90a9c19633426~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=a596381d&x-expires=1759665600&x-signature=QWOjOXNkKea3bv2T0Ag489zGcaY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,helios.clas,day 4 mbg 2/october/2025 #mbg #sekolah ,188,50,7638,23,39,suara asli - Helios.class,Helios.class,True,2025-10-02T04:47:04.000Z,https://www.tiktok.com/@helios.clas/video/7556481332730187019
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5945b2b73adab2f335bb81558dee15df~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=462581ec&x-expires=1759665600&x-signature=J%2F5ZrFEag6RorDNdKSfrolGj6jI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,sppgkarangdapo,"h- launching mbg
#mbg #mbglovers❤️ #sppg #fyp #fyppppppppppppppppppppppp ",141,15,6939,21,42,suara asli - SPPG KARANG DAPO I,SPPG KARANG DAPO I,True,2025-09-27T09:08:27.000Z,https://www.tiktok.com/@sppgkarangdapo/video/7554693279619632396
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/aa83169b6e4f95ad54766dacfc105fa7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=202d39ec&x-expires=1759665600&x-signature=5QZMMyZtRUfVTc3o635fT3%2F%2F2Rs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,sebelasgemoy,"#mbg#mbgviral#fyp
#foryoupage #beracun ",1447,259,36000,6,21,suara asli - zarrzxboyss🥷,IG:h4pis_,True,2025-10-02T06:56:10.000Z,https://www.tiktok.com/@sebelasgemoy/video/7556514623705337096
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/4c7da0fc94f431a8bb286ed795152779~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=266183f0&x-expires=1759665600&x-signature=JebkiwxiZmcccTgsqIJpQpjrGsQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,jatim.surabaya1927,"pemburuu MBG 🥰
#mbglovers❤️ #mbg #fyp #4u #makananviral 
#foryoupage #wenakcik ",290,105,12400,34,10,suara asli - zarrzxboyss🥷,IG:h4pis_,True,2025-10-02T02:57:09.000Z,https://www.tiktok.com/@jatim.surabaya1927/video/7556453028149153042
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/99b05fad3144bdc8667727880fa80f65~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=c758fab6&x-expires=1759665600&x-signature=R8MjmEKUpM2DWdyjmdAeyUnbyc8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,bevereight10,"day 1 mbg 
#smanca #makanbergizigratis #day1 #mbg #fyp ",68,5,5329,4,10,suara asli - bevereight,bevereight,True,2025-09-29T06:58:48.000Z,https://www.tiktok.com/@bevereight10/video/7555402048297241868
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ab6c078b6c8cdb4ddb12716da19de314~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=2f8d9be4&x-expires=1759665600&x-signature=c1GCvAz95f08DOzDXBgQuR2Q0VI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,exoticlvnnone_,#mbg #pak #prabowo #fyp #alhamdulillah ,59000,3800,977100,585,14,suara asli - violetts,violetts,True,2025-09-18T00:22:05.000Z,https://www.tiktok.com/@exoticlvnnone_/video/7551217866780052741
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/de896f8aba9a3c81c1f35b74f2d755af~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5a49023c&x-expires=1759665600&x-signature=zj7yE1LCzYrdqwmSZOhcMUOmb0w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,xii_enam,#fyp #mbg #sppg #makangratis #sinoman ,9129,1011,203300,108,25,suara asli - 🐝Mbois music official,Mbois music official 🐝,True,2025-10-02T04:06:00.000Z,https://www.tiktok.com/@xii_enam/video/7556470734592265484
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/381f1627a5cb57991aa8b37eb05c279c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=64e92111&x-expires=1759665600&x-signature=mfSNodpCw7nc5ByeTKeW65av6lk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,duabelas_tigaa,mbg dihatiiii😋😂 #mbg #fypppppppppppppppppppppp #xybca #xyzabc #fypシ ,24,1,2574,0,28,suara asli - zarrzxboyss🥷,IG:h4pis_,True,2025-10-02T08:44:59.000Z,https://www.tiktok.com/@duabelas_tigaa/video/7556542669384731911
